date,regime,exposure,strategy_equity,benchmark_equity,drawdown
2025-09-16,low,1.0,1.0753384444587115,1.093738463447391,-0.0012879303382403728
2025-09-17,low,1.0,1.074295185338125,1.092677353214229,-0.002256848989743543
2025-09-18,low,1.0,1.079440113020719,1.0979103152896625,0.0
2025-09-19,low,1.0,1.0847136301188007,1.103274067062457,0.0
2025-09-22,low,1.0,1.0894972676389671,1.1081395569721288,0.0
2025-09-23,low,1.0,1.0835026802277077,1.1020423967171618,-0.005502159197012246
2025-09-24,low,1.0,1.0804183621648722,1.098905303166557,-0.008333114495798322
2025-09-25,low,1.0,1.075006480312548,1.0934008190927085,-0.01330043475723608
2025-09-26,low,1.0,1.081350993061504,1.099853892226217,-0.0074770950046684215
2025-09-29,low,1.0,1.0842009414171245,1.102752605790717,-0.004861257002801156
2025-09-30,low,1.0,1.0886362430855707,1.1072637995053751,-0.0007902952847805844
2025-10-01,low,1.0,1.0923375201301322,1.1110284087671125,0.0
2025-10-02,low,1.0,1.0930129721957882,1.111715418432051,0.0
2025-10-03,low,1.0,1.0930845785390233,1.111788250024957,0.0
2025-10-06,low,1.0,1.0970706119962501,1.1158424881406153,0.0
2025-10-07,low,1.0,1.0928892307125282,1.1115895596194483,-0.0038114057910214605
2025-10-08,low,1.0,1.09925822154552,1.1180675296792777,0.0
2025-10-09,low,1.0,1.096229138120363,1.1149866158812476,-0.002755570407195318
2025-10-10,low,1.0,1.0665085319628143,1.0847574631163752,-0.029792535494217898
2025-10-13,high,0.25,1.0706434518727475,1.1016782387526312,-0.02603098081226185
2025-10-14,high,0.25,1.0702244970003312,1.0999548541124988,-0.02641210588752152
2025-10-15,high,0.25,1.071300055800677,1.1043832736305574,-0.02543366535438296
2025-10-16,high,0.25,1.0696102676732784,1.09743185779975,-0.026970872986110228
2025-10-17,high,0.25,1.071016893364297,1.1032161089580026,-0.025691259458143212
2025-10-20,mid,0.75,1.0795781445084105,1.1149899300824786,-0.017903051941189907
2025-10-21,mid,0.75,1.0796046181805858,1.11502638629602,-0.017878968726112276
2025-10-22,mid,0.75,1.0752799042659014,1.109074889226865,-0.021813179842226638
2025-10-23,mid,0.75,1.0799760485756877,1.1155379049640666,-0.017541076875206008
2025-10-24,mid,0.75,1.0863705668944466,1.124353356901884,-0.011723955662532037
2025-10-27,mid,0.75,1.0963689237235321,1.1381717168491963,-0.0026284068341336786
2025-10-28,mid,0.75,1.0982497091014702,1.1407757898408408,-0.0009174481703050352
2025-10-29,mid,0.75,1.0982138140513866,1.1407260768223755,-0.0009501020539696148
2025-10-30,mid,0.75,1.090045470065244,1.129427398986581,-0.008380880215135611
2025-10-31,mid,0.75,1.0921850107278435,1.1323841514897124,-0.006434530739949151
2025-11-03,mid,0.75,1.0935942102625282,1.1343326593110252,-0.005152575775169921
2025-11-04,mid,0.75,1.0839535205957918,1.1210191896292978,-0.013922753225543594
2025-11-05,mid,0.75,1.0869223795978966,1.125114895677432,-0.011221969238746854
2025-11-06,mid,0.75,1.077797219573272,1.1125381486791082,-0.01952316712453117
2025-11-07,mid,0.75,1.0788170659601464,1.1139419958200638,-0.01859540841699059
2025-11-10,mid,0.75,1.0912543905509755,1.1310978372411935,-0.007281119974969497
2025-11-11,mid,0.75,1.0929525018183248,1.1334452617228747,-0.005736340746516855
2025-11-12,mid,0.75,1.0934684855130061,1.134158784997661,-0.005266948128323956
2025-11-13,mid,0.75,1.0798618887412554,1.1153806824910337,-0.01764492857464739
2025-11-14,high,0.25,1.079726414670507,1.1148210674880492,-0.01776816992785546
2025-11-17,high,0.25,1.077244686271019,1.1046067801282107,-0.020025809080191137
2025-11-18,high,0.25,1.0750142178091178,1.0954866641796681,-0.02205487597110345
2025-11-19,high,0.25,1.0760216574680344,1.0995989412339575,-0.021138403718114374
2025-11-20,mid,0.75,1.0634340002277398,1.0824811727098966,-0.03258945042722772
2025-11-21,high,0.25,1.0660359724837203,1.0931144236058423,-0.030222424914039148
2025-11-24,mid,0.75,1.0783786731976939,1.1100218616029978,-0.01899421622562003
2025-11-25,high,0.25,1.0808134003594532,1.1200805431733307,-0.016779334304303894
